point,velocity_mps,four_point_reduced_frequency,four_point_frequency_Hz,four_point_damping_g,eighteen_point_reduced_frequency,eighteen_point_frequency_Hz,eighteen_point_damping_g
5,121.7647,1.7967,129.17616000000001,-0.0071894276999999998,1.7899,128.68992,-0.0085227071000000005
5,125.2941,1.746,129.17089000000001,-0.0074084219,1.7395,128.69476,-0.0086641662000000001
5,128.8235,1.6980999999999999,129.16574,-0.0076274651000000004,1.6919,128.69944000000001,-0.0088133386999999994
5,132.35290000000001,1.6527000000000001,129.16072,-0.0078465588000000003,1.6469,128.70400000000001,-0.0089691665000000004
5,135.88239999999999,1.6096999999999999,129.15583000000001,-0.0080657105,1.6042000000000001,128.70848000000001,-0.0091306440999999999
5,139.4118,1.5689,129.15107,-0.0082849091999999992,1.5636000000000001,128.71290999999999,-0.0092969021000000006
5,142.94120000000001,1.5301,129.14644000000001,-0.0085041625000000006,1.5249999999999999,128.71732,-0.0094672110999999993
5,146.47059999999999,1.4932000000000001,129.14193,-0.0087234717000000007,1.4883,128.72174000000001,-0.0096409446999999992
5,150,1.458,129.13756000000001,-0.0089428382000000008,1.4534,128.72619,-0.0098176535000000006
6,30,13.3346,236.21008,-0.00090442487999999998,13.3231,236.00564,-0.0060493971999999998
6,33.529400000000003,11.9306,236.20195000000001,-0.0010141893000000001,11.9184,235.96207999999999,-0.0066673486999999998
6,37.058799999999998,10.794,236.19390000000001,-0.0011239729000000001,10.7814,235.91840999999999,-0.0072134323000000002
6,40.588200000000001,9.8550000000000004,236.18595999999999,-0.0012337763999999999,9.8417999999999992,235.86874,-0.0077425792000000004
6,44.117600000000003,9.0663,236.17811,-0.0013436005999999999,9.0519999999999996,235.80598000000001,-0.0082973453999999995
6,47.647100000000002,8.3943999999999992,236.17035000000001,-0.0014534496000000001,8.3785000000000007,235.72300000000001,-0.0088958608000000005
6,51.176499999999997,7.8152999999999997,236.1627,-0.0015633183000000001,7.7971000000000004,235.61359999999999,-0.0095306696999999992
6,54.7059,7.3108000000000004,236.15513000000001,-0.0016732107999999999,7.29,235.48305999999999,-0.010112828000000001
6,58.235300000000002,6.8674999999999997,236.14767000000001,-0.0017831285999999999,6.8442999999999996,235.34827000000001,-0.01050159
6,60,6.6654,236.14397,-0.0018380974,6.6412000000000004,235.28412,-0.010600131
6,61.764699999999998,6.4748999999999999,236.1403,-0.0018930730999999999,6.4497999999999998,235.22406000000001,-0.010627523999999999
6,65.2941,6.1246999999999998,236.13301999999999,-0.0020030458,6.0984999999999996,235.12092999999999,-0.010459642
6,68.823499999999996,5.8105000000000002,236.12584000000001,-0.0021130483999999999,5.7839,235.04612,-0.010000756
6,72.352900000000005,5.5267999999999997,236.11875000000001,-0.0022230828000000002,5.5006000000000004,234.99710999999999,-0.0093538132
6,75.882400000000004,5.2695999999999996,236.11176,-0.0023331541000000001,5.2441000000000004,234.96708000000001,-0.0086421468999999997
6,79.411799999999999,5.0353000000000003,236.10487000000001,-0.0024432581999999999,5.0106999999999999,234.95047,-0.0079502137999999997
6,82.941199999999995,4.8209,236.09807000000001,-0.0025534007000000002,4.7972999999999999,234.94271000000001,-0.0073348917999999999
6,86.470600000000005,4.6239999999999997,236.09137000000001,-0.0026635840000000001,4.6013999999999999,234.94135,-0.0068250285999999997
6,90,4.4424999999999999,236.08475999999999,-0.0027738109000000001,4.4210000000000003,234.94060999999999,-0.006463758
6,93.529399999999995,4.2747999999999999,236.07825,-0.0028840844,4.2541000000000002,234.94029,-0.0062321770999999998
6,97.058800000000005,4.1192000000000002,236.07183000000001,-0.0029944076999999999,4.0994999999999999,234.94039000000001,-0.0060970540000000002
6,100.5882,3.9746000000000001,236.06550999999999,-0.0031047841999999998,3.9556,234.94099,-0.0060312415999999999
6,104.1176,3.8397000000000001,236.05929,-0.0032152178000000001,3.8216000000000001,234.94212999999999,-0.0060137122999999997
6,107.64709999999999,3.7136999999999998,236.05316999999999,-0.0033257155000000001,3.6962999999999999,234.94385,-0.0060281713999999998
6,111.1765,3.5956999999999999,236.04714000000001,-0.0034362756000000001,3.5790000000000002,234.94614999999999,-0.0060619947999999996
6,114.7059,3.4849999999999999,236.04121000000001,-0.0035469057000000002,3.4689000000000001,234.94901999999999,-0.0061054109999999998
6,118.2353,3.3809,236.03537,-0.0036576110999999999,3.3654000000000002,234.95241999999999,-0.0061508622999999997
6,120,3.3311000000000002,236.03249,-0.0037129936000000001,3.3159000000000001,234.95430999999999,-0.0061724700999999998
6,121.7647,3.2827999999999999,236.02964,-0.0037683970000000002,3.2679,234.95633000000001,-0.0061925080000000002
6,125.2941,3.1903000000000001,236.024,-0.0038792693,3.1758999999999999,234.96068,-0.0062258540000000003
6,128.8235,3.1027999999999998,236.01847000000001,-0.0039902341999999997,3.089,234.96543,-0.0062495247999999996
6,132.35290000000001,3.02,236.01303999999999,-0.0041012983000000003,3.0066999999999999,234.97048000000001,-0.0062663264999999998
