a_m,t1_over_a,score_before_observed,score_before_cases_8_29_feasible,score_after_observed,score_after_cases_8_29_feasible
0.019049999999999997,0.11650000000000001,0.3638249090894124,0.53141433579160902,0.26841771562713224,0.40360874216309522
0.019049999999999997,0.11737500000000001,0.36887497294439697,0.54728198551840235,0.27352296409223287,0.41782747888863336
0.019049999999999997,0.11825000000000001,0.37337588444780184,0.56300194231515921,0.27826045944122035,0.43206603321921849
0.019049999999999997,0.11912500000000001,0.37730809997365256,0.57855701815802696,0.28260902298864155,0.44630872965113122
0.019049999999999997,0.12000000000000001,0.38065400726070253,0.59393141441107822,0.28654881781486097,0.46054079542483489
0.019049999999999997,0.12087500000000001,0.38339797428089617,0.60911076675594578,0.29006142458366779,0.47474842830891206
0.019049999999999997,0.12175000000000001,0.38552637866131034,0.62408199813241683,0.29312990052161808,0.48891884860892076
0.019049999999999997,0.12262500000000001,0.38702761892826071,0.63883043523509497,0.29573882241216454,0.50304033585354235
0.019049999999999997,0.12350000000000001,0.387892109104017,0.65334440145390305,0.29787431470646997,0.51710225083298567
0.019049999999999997,0.12437500000000001,0.38811225838497726,0.66761472063909433,0.29952406404907794,0.53109504384744843
0.019049999999999997,0.12525000000000003,0.38768243776515832,0.68163361640229003,0.30067732165978389,0.54500635075463011
0.019049999999999997,0.12612500000000001,0.38659893554278196,0.69539467095462348,0.30132489510435356,0.55881309778700694
0.019049999999999997,0.127,0.38485990366552314,0.70889277494411262,0.30145913102973637,0.57250583222557405
0.019049999999999997,0.12787500000000002,0.38246529683774316,0.72212406977923815,0.3010738904388704,0.58607756954238854
0.019049999999999997,0.12875000000000003,0.37941680623905633,0.73508588386969165,0.30016451804239819,0.59952233077707939
0.019049999999999997,0.12962500000000002,0.37571778959520741,0.74777666413347477,0.29872780715577552,0.61283510137679975
0.019049999999999997,0.1305,0.3713731992082509,0.76019590401821291,0.29676196151702822,0.62601178491092957
0.019049999999999997,0.13137500000000002,0.36638950940126802,0.77234406917045084,0.29426655528973433,0.63904915255612416
0.019049999999999997,0.13225000000000001,0.36077464467024201,0.78422252176488361,0.29124249239299782,0.65194478917089127
0.019049999999999997,0.13312499999999999,0.35453790966854642,0.79583344438081594,0.28769196617088183,0.66469703669848967
0.019049999999999997,0.13400000000000001,0.34768992198350723,0.8071797641902605,0.28361842028257422,0.67730493555551974
0.019049999999999997,0.13487500000000002,0.3402425485030558,0.81826507810329496,0.27902651156473912,0.68976816458354107
0.019049999999999997,0.13575000000000001,0.33220884601740014,0.82909357940497885,0.27392207549221331,0.70208698006448989
0.019049999999999997,0.136625,0.32360300655807517,0.83966998631526735,0.26831209474454698,0.7142621542289519
0.019049999999999997,0.13750000000000001,0.31444030784504595,0.84999947281026178,0.26220471195292222,0.72629491362031118
0.019049999999999997,0.13837500000000003,0.30473706909414344,0.86008760196068157,0.25561271129678736,0.73818687761857527
0.019049999999999997,0.13925000000000001,0.29451061232981657,0.86994026197102015,0.2485483342167692,0.74993999737489392
0.019049999999999997,0.140125,0.2837792292533291,0.87956360504080078,0.24102238264086651,0.76155649536203884
0.019049999999999997,0.14100000000000001,0.27256356415858407,0.88896398911717756,0.23304666080538461,0.77303880570736827
