aspect_ratio_index,taper_ratio_index,aspect_ratio,taper_ratio,binary_feasibility_score,raw_score
168,161,10.175000000000001,0.60000000000000009,0,-0.030069105005376184
169,161,10.199999999999999,0.60000000000000009,0,-0.027315472529245599
170,161,10.225000000000001,0.60000000000000009,0,-0.024551509471111954
171,161,10.25,0.60000000000000009,0,-0.021774705880359013
172,161,10.275,0.60000000000000009,0,-0.018982362283887388
173,161,10.300000000000001,0.60000000000000009,0,-0.016171563775626341
174,161,10.324999999999999,0.60000000000000009,0,-0.013339160785594273
175,161,10.350000000000001,0.60000000000000009,0,-0.01048175660630335
176,161,10.375,0.60000000000000009,0,-0.0075957016329546434
177,161,10.4,0.60000000000000009,0,-0.0046770941668498045
178,161,10.425000000000001,0.60000000000000009,0,-0.0017217875393772397
179,161,10.449999999999999,0.60000000000000009,0.0012745967645456657,0.0012745967645456657
180,161,10.475000000000001,0.60000000000000009,0.0043166503694774261,0.0043166503694774261
181,161,10.5,0.60000000000000009,0.007409154097557602,0.007409154097557602
182,161,10.525,0.60000000000000009,0.010557049361940407,0.010557049361940407
183,161,10.550000000000001,0.60000000000000009,0.013765405377590578,0.013765405377590578
184,161,10.574999999999999,0.60000000000000009,0.017039382724276297,0.017039382724276297
185,161,10.600000000000001,0.60000000000000009,0.020384193812132634,0.020384193812132634
186,161,10.625,0.60000000000000009,0.023805060808835266,0.023805060808835266
187,161,10.65,0.60000000000000009,0.027307171590409296,0.027307171590409296
188,161,10.675000000000001,0.60000000000000009,0.030895634275764638,0.030895634275764638
189,161,10.699999999999999,0.60000000000000009,0.03457543089862769,0.03457543089862769
190,161,10.725000000000001,0.60000000000000009,0.038351370760432379,0.038351370760432379
191,161,10.75,0.60000000000000009,0.042228043993780939,0.042228043993780939
192,161,10.775,0.60000000000000009,0.046209775849499146,0.046209775849499146
193,161,10.800000000000001,0.60000000000000009,0.050300582200184629,0.050300582200184629
194,161,10.824999999999999,0.60000000000000009,0.054504126730675062,0.054504126730675062
195,161,10.850000000000001,0.60000000000000009,0.058823680260419342,0.058823680260419342
196,161,10.875,0.60000000000000009,0.063262082614926773,0.063262082614926773
197,161,10.9,0.60000000000000009,0.067821707433090961,0.067821707433090961
198,161,10.925000000000001,0.60000000000000009,0.072504430264380915,0.072504430264380915
199,161,10.949999999999999,0.60000000000000009,0.077311600274846737,0.077311600274846737
200,161,10.975000000000001,0.60000000000000009,0.082244015843915608,0.082244015843915608
201,161,11,0.60000000000000009,0.08730190429456558,0.08730190429456558
202,161,11.025,0.60000000000000009,0.092484905958851449,0.092484905958851449
203,161,11.050000000000001,0.60000000000000009,0.097792062738222385,0.097792062738222385
204,161,11.074999999999999,0.60000000000000009,0.10322181127459085,0.10322181127459085
205,161,11.100000000000001,0.60000000000000009,0.10877198080360823,0.10877198080360823
206,161,11.125,0.60000000000000009,0.11443979571672785,0.11443979571672785
207,161,11.15,0.60000000000000009,0.12022188281336671,0.12022188281336671
208,161,11.175000000000001,0.60000000000000009,0.12611428317986906,0.12611428317986906
209,161,11.199999999999999,0.60000000000000009,0.13211246858778125,0.13211246858778125
210,161,11.225000000000001,0.60000000000000009,0.13821136226108183,0.13821136226108183
211,161,11.25,0.60000000000000009,0.14440536382060321,0.14440536382060321
212,161,11.275,0.60000000000000009,0.15068837817470643,0.15068837817470643
213,161,11.300000000000001,0.60000000000000009,0.15705384808825562,0.15705384808825562
214,161,11.324999999999999,0.60000000000000009,0.16349479012787693,0.16349479012787693
215,161,11.350000000000001,0.60000000000000009,0.17000383365061977,0.17000383365061977
216,161,11.375,0.60000000000000009,0.17657326247557398,0.17657326247557398
217,161,11.4,0.60000000000000009,0.18319505885445464,0.18319505885445464
218,161,11.425000000000001,0.60000000000000009,0.18986094933731934,0.18986094933731934
219,161,11.449999999999999,0.60000000000000009,0.1965624521142883,0.1965624521142883
220,161,11.475000000000001,0.60000000000000009,0.20329092540306165,0.20329092540306165
221,161,11.5,0.60000000000000009,0.21003761644546531,0.21003761644546531
222,161,11.525,0.60000000000000009,0.21679371067457343,0.21679371067457343
223,161,11.550000000000001,0.60000000000000009,0.22355038061664001,0.22355038061664001
224,161,11.574999999999999,0.60000000000000009,0.2302988340997778,0.2302988340997778
225,161,11.600000000000001,0.60000000000000009,0.23703036135353278,0.23703036135353278
226,161,11.625,0.60000000000000009,0.24373638060032399,0.24373638060032399
227,161,11.65,0.60000000000000009,0.25040848176110753,0.25040848176110753
228,161,11.675000000000001,0.60000000000000009,0.25703846792310087,0.25703846792310087
229,161,11.699999999999999,0.60000000000000009,0.26361839424695599,0.26361839424695599
230,161,11.725000000000001,0.60000000000000009,0.27014060402398721,0.27014060402398721
231,161,11.75,0.60000000000000009,0.27659776163041627,0.27659776163041627
232,161,11.775,0.60000000000000009,0.2829828821648015,0.2829828821648015
