problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,48,68,0.43241280556229089,0.4861048174978716,0.60339134444757536,0.61043914012798473,0.37268985200170734,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,49,69,0.43241280556229089,0.4861048174978716,0.60339211392950398,0.61043914012798473,0.37276194282113506,0.4861048174978716
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,50,70,0.46266358663230844,0.48760746912993946,0.60339211392950398,0.61043914012798473,0.37282866953738375,0.48760746912993946
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,51,71,0.48913229766513733,0.48852208978862915,0.60339211392950398,0.6140479093139779,0.37282866953738375,0.48913229766513733
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,52,72,0.48913229766513733,0.48852208978862915,0.60339211392950398,0.61404791106042023,0.37288636477428233,0.48913229766513733
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,53,73,0.49290002714099801,0.48852208978862915,0.60487725114378788,0.61404791106042023,0.37529259264123666,0.49290002714099801
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,54,74,0.49290002714099801,0.48852208990477008,0.60487725114378788,0.61404791106042023,0.37534534037865602,0.49290002714099801
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,55,75,0.49300201838183755,0.48906587074477259,0.60596813323805943,0.61404791106042023,0.37534534037865602,0.49300201838183755
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,56,76,0.49582670585914879,0.49079835624739565,0.60764511554201917,0.61531663206562304,0.37534534037865602,0.49582670585914879
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,57,77,0.49878148427564006,0.49079835624739565,0.61182715746455762,0.61651651361597704,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,58,78,0.49878148427564006,0.49079835624739565,0.61182715746455762,0.61651651361597704,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,59,79,0.49878148427564006,0.49079835624739565,0.61182715746455762,0.61651651361597704,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,60,80,0.49878148427564006,0.4913696915599613,0.61182715746455762,0.61651651361597704,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,61,81,0.49878148427564006,0.49182080541829387,0.61182715746455762,0.6174278631664708,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,62,82,0.49878148427564006,0.49182080541829387,0.61532898692478233,0.6174278631664708,0.37539730591405668,0.49878148427564006
