problem_id,total_evaluations,is_final,record_type,normalized_x1,normalized_x2,pof_score,exact_feasible,predicted_feasible_at_half,error_class,observed_feasible,objective_y1,objective_y2
COSSIN1,50,1,grid,0.00248756218905473,0.937810945273632,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.942786069651741,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.947761194029851,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.95273631840796,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.95771144278607,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.962686567164179,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.967661691542289,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.972636815920398,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.977611940298508,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.982587064676617,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.987562189054726,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.992537313432836,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00248756218905473,0.997512437810945,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.00248756218905473,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.00746268656716418,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0124378109452736,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0174129353233831,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0223880597014925,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.027363184079602,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0323383084577114,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0373134328358209,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0422885572139304,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0472636815920398,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0522388059701493,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0572139303482587,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0621890547263682,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0671641791044776,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0721393034825871,1,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0771144278606965,0.99502294853996,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.082089552238806,0.974800537480544,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0870646766169154,0.955095833043408,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0920398009950249,0.935967641878075,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.0970149253731343,0.917462252292737,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.101990049751244,0.899615262991954,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.106965174129353,0.882453195029739,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.111940298507463,0.865994909557308,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.116915422885572,0.8502528517717,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.121890547263682,0.835234139511364,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.126865671641791,0.820941513176333,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.131840796019901,0.807374162052833,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.13681592039801,0.794528440675878,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.141791044776119,0.782398487550791,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.146766169154229,0.770976757360116,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.151741293532338,0.760254476692117,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.156716417910448,0.750222032329279,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.161691542288557,0.740869300219677,1,1,3,NaN,,
COSSIN1,50,1,grid,0.00746268656716418,0.166666666666667,0.73218592241242,1,1,3,NaN,,
