topology,case_id,design_id,X1_cell_size_m,X2_t1_over_a,Y1_two_wing_mass_kg,Y2_two_wing_trim_compliance_Nm,C_binary_feasible,C_signed_recorded,within_topology_observed_pareto,pooled_observed_pareto,evaluation_period,field_output_available,half_wing_skin_mass_kg,half_wing_lattice_mass_kg,flutter_confirmation,harmonized_rerun_pass,harmonized_maximum_damping
FCC,15,FCC15,0.018981830418109892,0.05,34.964500948523515,52.0381356776315,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3064743963117442,outside_static_admissible_subset,,
FCC,16,FCC16,0.017285897493362425,0.11458536922931672,42.67381511641918,49.229637764068706,1,-1,1,1,inherited_001_051,1,16.17577607795001,5.161131480259576,harmonized_18_point_rerun,1,-1.1241855e-06
FCC,17,FCC17,0.015284534633159638,0.05,34.956414249897605,51.95350174423783,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3024310469987903,outside_static_admissible_subset,,
FCC,18,FCC18,0.024769690096378326,0.05,34.911396531044225,52.0775151978432,0,1,0,0,inherited_001_051,1,16.17577607795001,1.2799221875721025,outside_static_admissible_subset,,
FCC,19,FCC19,0.02156573450565338,0.08477732822299004,38.73134692651346,50.35747158686791,0,1,0,0,inherited_001_051,1,16.17577607795001,3.1898973853067183,outside_static_admissible_subset,,
FCC,20,FCC20,0.01,0.0887852992117405,39.30316512239832,50.1120654375074,0,1,0,0,inherited_001_051,1,16.17577607795001,3.475806483249147,outside_static_admissible_subset,,
FCC,21,FCC21,0.026921925544738767,0.05,34.9428616910916,52.2032436497705,0,1,0,0,inherited_001_051,1,16.17577607795001,1.295654767595788,outside_static_admissible_subset,,
FCC,22,FCC22,0.023699261844158173,0.08694045662879944,39.046405971339595,50.250863156780795,0,1,0,0,inherited_001_051,1,16.17577607795001,3.3474269077197842,outside_static_admissible_subset,,
FCC,23,FCC23,0.020836302876472472,0.05,34.91608934345571,52.15103092930742,0,1,0,0,inherited_001_051,1,16.17577607795001,1.2822685937778437,outside_static_admissible_subset,,
FCC,24,FCC24,0.021331054389476772,0.09969476640224456,40.673036412355394,49.8466822722321,0,1,0,0,inherited_001_051,1,16.17577607795001,4.160742128227685,outside_static_admissible_subset,,
FCC,25,FCC25,0.03,0.3589220290911594,80.7621516778312,48.95563623213617,0,1,0,0,inherited_001_051,1,16.17577607795001,24.205299760965588,outside_static_admissible_subset,,
FCC,26,FCC26,0.01,0.4,83.14358410092515,43.55329566091167,1,-1,1,1,inherited_001_051,1,16.17577607795001,25.396015972512565,harmonized_18_point_rerun,1,-3.934688e-06
FCC,27,FCC27,0.013945023834705353,0.07773593917489052,37.98098942146021,50.534437314871795,0,1,0,0,inherited_001_051,1,16.17577607795001,2.8147186327800906,outside_static_admissible_subset,,
FCC,28,FCC28,0.0126962890625,0.05,34.94350132232546,51.952492634936746,0,1,0,0,inherited_001_051,1,16.17577607795001,1.2959745832127192,outside_static_admissible_subset,,
FCC,29,FCC29,0.01797900390625,0.17862095847725873,52.048567155677105,47.78259592728386,0,1,0,0,inherited_001_051,1,16.17577607795001,9.84850749988854,outside_static_admissible_subset,,
FCC,30,FCC30,0.017664634108543395,0.05,34.978443690275824,52.047639986422205,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3134457671878994,outside_static_admissible_subset,,
FCC,31,FCC31,0.020202405691146848,0.07025353014469148,37.02571233610689,50.94275933423653,0,1,0,0,inherited_001_051,1,16.17577607795001,2.3370800901034348,outside_static_admissible_subset,,
FCC,32,FCC32,0.011978358447551726,0.09234415903687478,39.7471884027504,50.06391901781039,0,1,0,0,inherited_001_051,0,,,scalar_only_infeasible,,
FCC,33,FCC33,0.013979751110076905,0.05,34.96664437000124,51.987975143596955,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3075461070506096,outside_static_admissible_subset,,
FCC,34,FCC34,0.01,0.1842620002701555,53.0942496048897,47.74084637874584,0,1,0,0,inherited_001_051,1,16.17577607795001,10.371348724494839,outside_static_admissible_subset,,
FCC,35,FCC35,0.029547939896583553,0.18837551355361942,53.650678800267684,48.85234473359091,0,1,0,0,inherited_001_051,1,16.17577607795001,10.64956332218383,outside_static_admissible_subset,,
FCC,36,FCC36,0.03,0.18585826426744462,53.33525330587692,48.965577476738346,0,1,0,0,inherited_001_051,1,16.17577607795001,10.491850574988446,outside_static_admissible_subset,,
FCC,37,FCC37,0.01,0.1894942832742102,53.70276651507973,47.619034057804015,0,1,0,0,inherited_001_051,1,16.17577607795001,10.675607179589854,outside_static_admissible_subset,,
FCC,38,FCC38,0.023313203394412993,0.05,34.95878099125579,52.10149291961333,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3036144176778852,outside_static_admissible_subset,,
FCC,39,FCC39,0.01606304931640625,0.05,34.964807738369,51.94800286391046,0,1,0,0,inherited_001_051,1,16.17577607795001,1.3066277912344877,outside_static_admissible_subset,,
FCC,40,FCC40,0.022733787834644317,0.10232856959104539,40.93792891554628,49.74827060835925,1,-1,1,1,inherited_001_051,1,16.17577607795001,4.293188379823127,harmonized_18_point_rerun,1,-1.1718531e-06
FCC,41,FCC41,0.017251661181449888,0.2761295778843299,66.4940594464922,46.187758891420984,1,-1,0,0,inherited_001_051,1,16.17577607795001,17.071253645296085,harmonized_18_point_rerun,1,-2.1809108e-06
FCC,42,FCC42,0.023288543784948344,0.28257027015385505,67.31692109591133,46.35635544452793,0,1,0,0,inherited_001_051,1,16.17577607795001,17.48268447000565,outside_static_admissible_subset,,
FCC,43,FCC43,0.02943188883039019,0.09392802433066069,39.903307396604596,50.04765493304961,0,1,0,0,inherited_001_051,1,16.17577607795001,3.775877620352287,outside_static_admissible_subset,,
FCC,44,FCC44,0.020200172492652393,0.3520014708883315,76.94303639409237,45.20845900465985,0,1,0,0,inherited_001_051,1,16.17577607795001,22.295742119096175,outside_static_admissible_subset,,
FCC,45,FCC45,0.026145858347819816,0.14395964892442503,46.888667768129636,48.47290952258771,0,1,0,0,inherited_001_051,1,16.17577607795001,7.268557806114805,outside_static_admissible_subset,,
FCC,46,FCC46,0.027741988681198697,0.35683626960036036,79.43817776764513,48.93187812043136,0,1,0,0,inherited_001_051,1,16.17577607795001,23.543312805872556,outside_static_admissible_subset,,
FCC,47,FCC47,0.014934901762091592,0.264655356371772,64.93928860811755,45.755043390895906,1,-1,0,0,inherited_001_051,1,16.17577607795001,16.29386822610876,harmonized_18_point_rerun,1,-1.0459088e-06
