beam_element_id,grid_a,grid_b,original_length_m,final_length_m
866609,519853,519828,0.006771209302146678,0.006771209302146678
866610,519853,519829,0.006771205963624202,0.006771205963624202
866635,519874,519853,0.006764910589682684,0.006764910589682684
866636,519875,519853,0.006764907248051755,0.006764907248051755
866648,519890,519881,0.0023507169574313214,0.0016185971565892952
866654,519895,519874,0.006764910448140235,0.006764910448140235
866655,519896,519875,0.006764908442444362,0.006764908442444362
866656,519896,519890,0.0023507168877353554,0.0037739656191279696
866683,519914,519896,0.002402388053644287,0.0038063253832707534
866690,519919,519914,0.0024023880530128616,0.001692902174942968
866695,519924,519895,0.006759482746141925,0.006759482746141925
866696,519925,519896,0.006759480738835527,0.006759480738835527
866750,519968,518468,0.005810094044849344,0.005810094044849344
866751,519968,518500,0.005524625659653701,0.005524625659653701
866752,519968,518501,0.0055246215678222115,0.0055246215678222115
866753,519968,518530,0.004945350734562087,0.004945350734562087
866754,519968,519924,0.00675948274829484,0.00675948274829484
866755,519968,519925,0.006759479403980592,0.006759479403980592
866780,519991,519968,0.006752453588048633,0.006752453588048633
866781,519992,519968,0.006752450240253023,0.006752450240253023
866819,520015,520006,0.002496750724785372,0.0017158542525131171
866830,520023,519991,0.006752453312669992,0.006752453312669992
866831,520024,519992,0.006752451303273948,0.006752451303273948
866832,520024,520015,0.0024967505978865942,0.00401280063373691
868637,521378,519766,0.005625453669022953,0.005625453669022953
868638,521379,519766,0.005625449650531596,0.005625449650531596
868655,521395,519766,0.005900675436071599,0.005900675436071599
868699,521424,519853,0.005115739486874482,0.005115739486874482
868741,521450,519853,0.0056312121969691355,0.0056312121969691355
868742,521451,519853,0.005631208182587127,0.005631208182587127
868771,521476,519853,0.005889502334765493,0.005889502334765493
868850,521521,519968,0.005110182624012878,0.005110182624012878
868880,521544,519968,0.005637801151470067,0.005637801151470067
868881,521545,519968,0.00563779714177971,0.00563779714177971
868905,521570,519968,0.005878861571482789,0.005878861571482789
869769,522275,521875,0.0017848650800439574,0.0017848650800439574
869841,522326,521889,0.0019142551775854523,0.0019142551775854523
869893,522378,521914,0.002043728693470105,0.002043728693470105
870401,522718,521378,0.005625444427963996,0.005625444427963996
870402,522719,521379,0.005625442016002766,0.005625442016002766
870403,522719,522275,0.0017848741479609893,0.0017848741479609893
870454,522753,521395,0.005900585718077787,0.005900585718077787
870455,522753,521424,0.005115856338461922,0.005115856338461922
870495,522785,521450,0.005631203048522883,0.005631203048522883
870496,522786,521451,0.005631200639028192,0.005631200639028192
870497,522786,522326,0.0019142402894640647,0.0019142402894640647
870562,522834,521476,0.005889502111395882,0.005889502111395882
870563,522834,521521,0.005110182569408613,0.005110182569408613
870641,522890,521544,0.005637805546204654,0.005637805546204654
870642,522891,521545,0.005637803139531749,0.005637803139531749
870643,522891,522378,0.0020437242879575825,0.0020437242879575825
870712,522951,521570,0.005878876240415823,0.005878876240415823
870970,523137,522719,0.0018024137102290126,0.0018024137102290126
871085,523239,522786,0.0019315231526630774,0.0019315231526630774
871223,523352,522891,0.002060257219086483,0.002060257219086483
