input_variable,input_physical,normalized_hvi_threshold,conditional_exceedance_probability,display_log10_exceedance_probability
secondary_member_ratio,0.15291666666666667,0.00022675431258707996,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0002511886431509582,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0002782559402207126,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0003082399239745144,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0003414548873833601,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.00037824899063893826,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0004190079105786665,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0004641588833612782,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0005141751827683928,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0005695810810737687,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.000630957344480193,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.000698947320727348,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0007742636826811277,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0008576958985908946,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0009501185073181439,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0010525002852777327,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0011659144011798312,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0012915496650148827,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0014307229891937587,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.001584893192461114,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0017556762912750014,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0019448624389373616,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.002154434690031882,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0023865897868585832,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.002643761185749101,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0029286445646252374,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.00324422607917163,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.003593813663804626,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.003981071705534969,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.004410059454176741,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.004885273571519392,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.0054116952654646375,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.005994842503189409,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.006640827850634838,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.007356422544596406,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.008149127469020748,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.009027251779484578,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.01,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.011077568505097087,0.0029296875,-2.5331787019201495
secondary_member_ratio,0.15291666666666667,0.012271252398511892,0.0029296875,-2.5331787019201495
